3993670: 0.00	B
0.07	F
0.28	C
0.35	A
0.43	F
0.58	B
0.65	D
0.93	C
1.00	B
1.21	X
1.29	X

9493013: 0.00	B
0.06	C
0.54	B
0.96	C
1.10	B
1.17	E
1.24	B
1.38	C
1.45	B
1.52	A
1.62	B
1.94	G
2.08	B
2.85	C
2.99	B
3.06	A
3.17	B
4.64	X
5.62	B
6.67	C
6.74	E
6.81	F
7.02	E
7.23	B
7.44	C
7.65	G
7.72	C
8.00	G
8.07	C
8.21	A
8.29	E
8.46	B
8.53	A
8.61	C
9.02	E
9.09	C
9.16	B
9.44	E
9.72	F
9.86	A
10.03	B
11.01	F
11.08	C
11.15	B
11.22	F
11.29	B
11.43	C
11.64	G
11.78	F
11.99	C
12.06	F
12.27	A
12.35	E
12.46	A
12.60	B
12.99	F
13.06	C
13.13	B
13.20	A
13.29	E
13.64	C
13.71	B
13.78	C
13.92	G
13.99	B
14.06	F
14.48	B
14.83	C
15.18	G
15.25	B
15.39	G
15.46	B
15.74	F
15.88	E
16.09	F
16.44	B
16.58	F
16.65	C
16.86	B
16.93	E
17.07	C
17.35	B
17.42	C
17.49	B
17.70	C
17.77	B
17.98	D
18.12	B
18.40	D
18.50	C
18.54	A
18.67	B
18.74	G
18.94	A
19.01	C
19.27	A
19.35	D
19.44	C
19.48	G
19.69	C
19.83	G
19.90	C
20.11	G
20.18	C
20.39	G
20.46	C
20.53	B
20.67	C
20.74	B
20.95	C
21.02	G
21.09	C
21.16	B
21.30	A
21.40	C
21.96	B
22.03	E
22.17	F
22.38	E
22.66	C
22.73	B
22.94	G
23.01	F
23.15	C
23.29	B
23.57	C
23.64	B
23.85	C
23.92	A
24.00	C
24.19	E
24.26	C
24.33	B
24.40	F
24.47	A
24.55	E
24.71	F
24.78	G
24.92	F
24.99	C
25.13	G
25.20	B
25.55	C
25.90	B
26.25	E
26.39	F
26.53	A
26.66	B
26.73	C
26.86	E
26.93	C
27.20	B
27.29	G
27.36	C
27.43	B
27.50	C
27.57	B
27.79	E
27.97	F
28.04	B
28.11	F
28.25	C
28.39	A
28.53	B
28.71	A
28.79	E
28.97	F
29.11	B
29.25	E
29.39	F
29.74	B
31.00	C
31.14	B
31.91	C
32.05	E
32.12	F
32.19	B
32.26	C
32.33	A
32.78	C
32.86	B
33.14	C
33.21	E
33.28	C
33.35	B
33.56	G
33.63	B
33.77	C
33.84	B
33.91	C
34.05	B
34.40	C
34.61	B
34.68	A
34.81	G
34.88	B
35.43	G
35.85	B
36.41	C
36.55	X
39.60	X

13008896: 0.00	X
0.01	C
0.15	A
0.26	B
0.32	C
0.37	A
0.45	C
0.56	B
0.70	C
0.91	B
1.13	D
1.25	B
1.60	F
1.95	B
2.02	X
2.19	X

14603414: 0.00	X
0.01	B
0.24	C
0.40	E
0.60	B
0.95	E
1.16	B
1.23	E
1.51	B
1.72	X
1.87	B
1.92	F
1.96	C
2.03	A
2.14	B
2.75	X
2.96	X

15207614: 0.00	B
0.12	G
0.19	E
0.26	F
0.33	A
0.41	E
0.70	B
0.74	C
0.78	B
0.85	X
1.01	B
1.10	C
1.24	B
1.38	C
1.59	B
1.66	C
1.73	F
1.94	X
1.98	X

16740251: 0.00	X
0.01	B
0.04	A
0.07	B
0.22	C
0.36	B
0.57	G
0.64	C
0.71	E
0.85	C
0.99	A
1.07	C
1.24	G
1.31	E
1.52	X
1.68	X

18190863: 0.00	F
0.52	E
1.01	X
1.05	X

20606698: 0.00	C
0.07	F
0.13	A
0.21	C
0.42	E
0.47	F
0.64	E
0.72	H
0.79	C
1.07	X
1.12	X

23432005: 0.00	C
0.14	G
0.21	B
0.29	A
0.35	F
0.41	A
0.49	B
0.76	X
0.79	X

26662362: 0.00	X
0.02	B
0.43	C
0.57	B
0.78	X
0.80	X

31586817: 0.00	B
0.58	A
0.66	B
0.74	A
1.02	F
1.21	B
1.28	X
1.31	X

34764156: 0.00	X
0.02	B
0.07	A
0.15	F
0.55	G
0.62	F
0.69	B
0.90	C
1.04	A
1.12	E
1.23	B
1.30	C
1.37	E
1.58	B
1.79	D
1.86	B
2.07	E
2.28	B
2.35	E
2.56	X
3.09	B
3.14	E
3.26	F
3.40	E
3.47	C
3.54	B
3.94	E
4.08	A
4.16	B
4.53	D
4.63	C
4.67	A
4.76	B
4.82	H
4.95	C
5.09	B
5.51	X
5.69	B
5.74	H
5.78	C
5.85	B
5.99	C
6.20	B
6.41	C
6.48	B
6.55	A
6.63	B
6.68	C
6.79	G
6.86	E
6.93	B
7.07	C
7.14	B
7.35	X
7.41	X

35414571: 0.00	X
0.03	B
0.35	F
0.91	C
1.05	B
1.33	X
1.37	X

35715942: 0.00	B
0.06	E
0.12	F
0.19	A
0.27	D
0.44	C
0.51	F
0.58	B
0.86	X
0.88	X

36844744: 0.00	X
0.01	B
0.17	A
0.25	E
0.46	C
0.53	B
0.67	A
0.75	C
0.83	B
1.30	E
1.37	B
1.51	X
2.03	B
2.14	A
2.22	D
2.28	B
2.34	A
2.47	B
2.68	C
2.96	B
3.17	F
3.24	B
3.38	F
3.45	B
3.52	E
3.80	B
3.87	X
3.93	X

38115373: 0.00	X
0.03	B
0.15	E
0.57	B
0.78	F
1.20	A
1.28	C
1.32	D
1.43	H
1.57	B
1.71	X
1.73	X

40641673: 0.00	X
0.12	B
0.17	C
0.22	B
0.48	E
0.52	A
0.60	H
0.77	C
0.84	B
1.12	F
1.26	B
1.33	F
1.40	C
1.54	B
1.75	A
1.94	D
2.04	B
2.46	H
2.60	A
2.68	B
3.70	H
3.84	C
3.91	B
4.05	F
4.47	C
4.54	A
4.62	B
4.70	C
4.91	E
4.98	D
5.12	B
5.26	X
5.61	B
5.65	C
5.69	B
5.83	A
5.96	C
6.13	A
6.25	C
6.35	B
6.42	E
6.49	G
6.56	B
6.63	G
6.70	E
6.77	F
6.84	B
7.33	E
7.47	A
7.59	B
7.79	E
7.86	F
8.07	A
8.15	F
8.19	B
8.23	C
8.30	B
8.72	C
8.79	B
9.21	X
9.76	B
9.81	C
9.92	E
10.06	B
10.13	A
10.21	D
10.39	B
10.53	A
10.79	B
10.85	F
10.90	A
10.98	B
11.10	F
11.24	B
11.31	C
11.38	A
11.46	B
12.07	C
12.21	B
12.35	X
12.91	B
12.95	F
12.99	B
13.06	A
13.14	C
13.19	B
13.52	G
13.59	F
13.87	B
14.01	A
14.21	B
14.28	A
14.36	C
14.48	E
14.62	C
14.74	F
14.95	B
15.58	F
15.79	B
15.86	A
15.94	B
16.21	X
16.44	X

45537252: 0.00	X
0.04	B
0.39	D
0.46	A
0.55	C
0.69	A
0.85	C
0.91	B
1.10	C
1.25	B
1.38	C
1.45	E
1.52	B
1.59	A
1.65	C
1.71	A
1.77	F
1.85	A
1.92	C
2.00	B
2.17	E
2.29	A
2.37	B
2.60	F
2.88	A
2.96	E
3.20	F
3.34	B
3.83	A
3.91	B
3.99	A
4.17	F
4.29	B
4.50	A
4.58	D
4.67	C
4.71	A
4.79	B
4.86	C
4.93	B
5.07	E
5.28	B
5.42	X
5.96	B
6.00	F
6.04	B
6.11	A
6.36	D
6.43	B
6.85	E
7.06	A
7.14	C
7.24	B
7.66	C
7.87	B
8.08	C
8.15	A
8.23	E
8.33	A
8.41	E
8.70	B
9.05	F
9.33	B
9.54	H
9.61	B
9.86	C
9.98	X
10.17	X

47100007: 0.00	X
0.06	B
0.12	C
0.17	B
0.80	C
1.01	B
1.08	C
1.29	B
1.36	E
1.43	C
1.50	B
1.57	C
1.64	B
1.85	H
1.92	C
1.99	B
2.06	E
2.13	C
2.20	E
2.27	C
2.34	B
2.41	C
2.69	B
3.46	C
3.53	E
3.74	C
3.81	B
4.02	X
4.04	X

47486969: 0.00	X
0.03	B
0.08	E
0.20	B
0.41	C
0.48	B
0.55	C
0.76	B
0.83	D
1.18	E
1.39	B
1.60	X
1.66	X

47678640: 0.00	X
0.07	B
0.12	C
0.23	G
0.30	E
0.51	F
0.58	B
0.65	G
0.79	B
0.93	C
1.14	B
1.35	C
1.42	A
1.53	B
1.67	C
2.21	E
2.26	F
2.44	B
2.65	E
2.93	C
3.00	E
3.07	F
3.14	G
3.21	E
3.35	C
3.56	B
3.62	C
3.68	G
3.89	B
4.54	G
4.61	E
4.75	B
4.89	C
5.17	E
5.24	B
5.66	E
5.80	F
5.94	B
6.27	D
6.45	C
6.50	B
6.75	F
6.96	B
7.17	D
7.31	C
7.38	A
7.46	B
7.52	D
7.71	C
7.99	B
8.06	A
8.18	G
8.22	B
8.33	E
8.40	A
8.50	B
8.58	X
8.91	X

48628752: 0.00	B
0.20	A
0.28	D
0.63	C
0.70	B
0.94	X
0.97	X

50452755: 0.00	B
0.07	C
0.13	D
0.27	C
0.34	A
0.42	B
0.47	C
0.65	B
1.14	D
1.28	B
1.49	X
2.14	B
2.31	C
2.38	B
2.45	G
2.52	B
2.59	A
2.67	B
2.71	A
2.79	E
3.21	F
3.28	C
3.49	G
3.56	E
3.63	B
3.91	C
3.98	A
4.09	B
4.17	H
4.38	B
4.80	X
5.14	B
5.23	E
5.51	B
5.72	X
5.75	X

52606080: 0.00	X
0.03	B
0.17	C
0.31	B
0.45	C
0.52	H
0.66	B
0.73	A
0.81	E
0.98	X
1.02	X

53101439: 0.00	B
0.10	C
0.24	B
0.31	C
0.38	A
0.46	F
0.72	B
0.79	E
0.86	B
1.28	X
1.31	X

57106073: 0.00	X
0.02	B
0.07	F
0.11	B
0.18	F
0.32	B
0.55	H
0.62	C
0.69	B
0.76	C
0.83	E
0.97	C
1.11	B
1.18	X
1.30	B
1.51	A
1.63	C
1.72	A
1.80	B
2.10	G
2.17	B
2.24	E
2.31	F
2.59	B
2.66	E
2.94	B
3.22	X
3.23	X

61434553: 0.00	X
0.01	B
0.05	F
0.30	B
0.44	E
0.58	F
0.65	E
0.79	F
0.86	B
1.14	F
1.28	B
1.35	X
1.36	X

64278723: 0.00	X
0.01	B
0.08	C
0.22	A
0.36	B
0.52	C
0.59	F
0.87	B
1.22	C
1.29	B
1.78	X
2.43	B
2.71	C
2.85	G
2.92	F
3.06	A
3.16	G
3.21	C
3.25	B
3.46	X
3.88	B
3.93	F
3.98	B
4.33	C
4.47	B
4.54	A
4.62	F
4.67	B
4.99	E
5.06	A
5.17	H
5.28	D
5.49	E
5.56	A
5.64	E
5.81	B
6.16	X
6.17	X

64371707: 0.00	X
0.01	B
0.07	E
0.12	F
0.33	B
0.47	F
0.75	C
0.82	B
0.89	C
0.96	B
1.24	X
1.26	X

67806469: 0.00	X
0.08	B
0.36	A
0.47	B
0.67	F
0.74	B
0.81	G
0.88	F
0.95	C
1.23	B
1.30	E
1.51	X
1.54	X

71195726: 0.00	B
0.09	C
0.37	B
0.58	A
0.66	F
0.82	E
0.89	B
0.96	A
1.13	B
1.17	A
1.25	B
1.45	C
1.52	A
1.60	H
1.79	B
1.93	C
2.00	A
2.08	C
2.22	B
2.36	E
2.43	B
2.71	A
3.19	B
3.27	A
3.43	B
3.91	D
3.98	B
4.12	C
4.40	B
4.61	X
4.65	X

74027073: 0.00	X
0.02	B
0.08	C
0.14	B
0.21	C
0.63	E
0.77	X
0.79	X

76092797: 0.00	X
0.04	B
0.10	E
0.15	F
0.36	C
0.43	B
0.57	G
0.64	A
0.72	B
0.83	X
0.91	X

77789381: 0.00	B
0.04	F
0.15	A
0.27	B
0.32	F
0.43	C
0.50	F
0.64	B
0.71	X
0.76	X

80785251: 0.00	B
0.28	A
0.66	B
1.13	A
1.26	C
1.37	E
1.44	B
1.58	C
1.79	A
1.93	C
2.00	B
2.27	E
2.34	B
3.04	A
3.12	C
3.43	G
3.57	B
3.78	E
3.92	B
4.41	C
4.48	B
5.39	C
5.46	A
5.55	B
5.94	E
6.15	A
6.26	B
6.45	F
6.52	A
6.69	B
6.86	A
6.96	E
